State;Filed week ended;Initial Claims;Reflecting Week Ended;Continued Claims;Covered Employment;Insured Unemployment Rate
Idaho;06/01/2019;995;05/25/2019;4,471;711,825;0.63
Idaho;06/08/2019;988;06/01/2019;4,555;711,825;0.64
Idaho;06/15/2019;834;06/08/2019;4,536;711,825;0.64
Idaho;06/22/2019;740;06/15/2019;4,621;711,825;0.65
Idaho;06/29/2019;866;06/22/2019;4,668;711,825;0.66
Idaho;07/06/2019;1,083;06/29/2019;4,676;711,825;0.66
Idaho;07/13/2019;772;07/06/2019;5,209;717,744;0.73
Idaho;07/20/2019;649;07/13/2019;5,005;717,744;0.70
Idaho;07/27/2019;649;07/20/2019;5,103;717,744;0.71
Idaho;08/03/2019;643;07/27/2019;4,663;717,744;0.65
Idaho;08/10/2019;742;08/03/2019;4,671;717,744;0.65
Idaho;08/17/2019;755;08/10/2019;4,551;717,744;0.63
Idaho;08/24/2019;701;08/17/2019;4,404;717,744;0.61
Idaho;08/31/2019;700;08/24/2019;4,245;717,744;0.59
Idaho;09/07/2019;733;08/31/2019;3,881;717,744;0.54
Idaho;09/14/2019;637;09/07/2019;3,584;717,744;0.50
Idaho;09/21/2019;661;09/14/2019;3,432;717,744;0.48
Idaho;09/28/2019;654;09/21/2019;3,376;717,744;0.47
Idaho;10/05/2019;712;09/28/2019;3,418;717,744;0.48
Idaho;10/12/2019;826;10/05/2019;3,540;722,812;0.49
Idaho;10/19/2019;883;10/12/2019;3,525;722,812;0.49
Idaho;10/26/2019;887;10/19/2019;3,646;722,812;0.50
Idaho;11/02/2019;966;10/26/2019;3,790;722,812;0.52
Idaho;11/09/2019;1,289;11/02/2019;3,995;722,812;0.55
Idaho;11/16/2019;1,255;11/09/2019;4,331;722,812;0.60
Idaho;11/23/2019;1,197;11/16/2019;4,590;722,812;0.64
Idaho;11/30/2019;1,567;11/23/2019;5,014;722,812;0.69
Idaho;12/07/2019;2,274;11/30/2019;5,488;722,812;0.76
Idaho;12/14/2019;2,462;12/07/2019;7,019;722,812;0.97
Idaho;12/21/2019;1,972;12/14/2019;7,357;722,812;1.02
Idaho;12/28/2019;2,191;12/21/2019;8,072;722,812;1.12
Idaho;01/04/2020;2,957;12/28/2019;8,854;722,812;1.22
Idaho;01/11/2020;2,131;01/04/2020;11,483;727,996;1.58
Idaho;01/18/2020;2,172;01/11/2020;11,931;727,996;1.64
Idaho;01/25/2020;1,821;01/18/2020;11,833;727,996;1.63
Idaho;02/01/2020;1,446;01/25/2020;11,337;727,996;1.56
Idaho;02/08/2020;1,443;02/01/2020;11,389;727,996;1.56
Idaho;02/15/2020;1,356;02/08/2020;11,334;727,996;1.56
Idaho;02/22/2020;1,114;02/15/2020;11,275;727,996;1.55
Idaho;02/29/2020;998;02/22/2020;10,587;727,996;1.45
Idaho;03/07/2020;938;02/29/2020;10,167;727,996;1.40
Idaho;03/14/2020;1,031;03/07/2020;9,336;727,996;1.28
Idaho;03/21/2020;13,586;03/14/2020;7,869;727,996;1.08
Idaho;03/28/2020;32,941;03/21/2020;15,523;727,996;2.13
Idaho;04/04/2020;30,904;03/28/2020;35,915;727,996;4.93
Idaho;04/11/2020;18,531;04/04/2020;59,139;733,499;8.06
Idaho;04/18/2020;13,023;04/11/2020;67,722;733,499;9.23
Idaho;04/25/2020;8,827;04/18/2020;71,416;733,499;9.74
Idaho;05/02/2020;7,495;04/25/2020;71,794;733,499;9.79
Idaho;05/09/2020;5,795;05/02/2020;65,478;733,499;8.93
Idaho;05/16/2020;5,800;05/09/2020;60,121;733,499;8.20
Idaho;05/23/2020;4,727;05/16/2020;56,692;733,499;7.73
Idaho;05/30/2020;3,646;05/23/2020;51,035;733,499;6.96
Idaho;06/06/2020;3,953;05/30/2020;47,779;733,499;6.51
Idaho;06/13/2020;3,631;06/06/2020;36,764;733,499;5.01
Illinois;01/05/2019;11,838;12/29/2018;117,562;5,879,922;2.00
Illinois;01/12/2019;12,561;01/05/2019;136,601;5,879,922;2.32
Illinois;01/19/2019;11,347;01/12/2019;129,588;5,879,922;2.20
Illinois;01/26/2019;10,695;01/19/2019;131,817;5,879,922;2.24
Illinois;02/02/2019;10,755;01/26/2019;131,871;5,879,922;2.24
Illinois;02/09/2019;9,340;02/02/2019;135,768;5,879,922;2.31
Illinois;02/16/2019;7,520;02/09/2019;135,273;5,879,922;2.30
Illinois;02/23/2019;7,446;02/16/2019;134,364;5,879,922;2.29
Illinois;03/02/2019;8,005;02/23/2019;129,924;5,879,922;2.21
Illinois;03/09/2019;11,573;03/02/2019;129,116;5,879,922;2.20
Illinois;03/16/2019;7,987;03/09/2019;125,462;5,879,922;2.13
Illinois;03/23/2019;7,933;03/16/2019;131,314;5,879,922;2.23
Illinois;03/30/2019;9,230;03/23/2019;119,434;5,879,922;2.03
Illinois;04/06/2019;8,876;03/30/2019;119,157;5,879,922;2.03
Illinois;04/13/2019;7,728;04/06/2019;110,245;5,892,968;1.87
Illinois;04/20/2019;8,141;04/13/2019;105,530;5,892,968;1.79
Illinois;04/27/2019;7,310;04/20/2019;93,622;5,892,968;1.59
Illinois;05/04/2019;9,320;04/27/2019;95,884;5,892,968;1.63
Illinois;05/11/2019;8,836;05/04/2019;86,531;5,892,968;1.47
Illinois;05/18/2019;7,382;05/11/2019;91,243;5,892,968;1.55
Illinois;05/25/2019;7,666;05/18/2019;84,526;5,892,968;1.43
Illinois;06/01/2019;8,551;05/25/2019;83,430;5,892,968;1.42
Illinois;06/08/2019;10,583;06/01/2019;82,329;5,892,968;1.40
Illinois;06/15/2019;8,838;06/08/2019;84,805;5,892,968;1.44
Illinois;06/22/2019;8,100;06/15/2019;87,646;5,892,968;1.49
Illinois;06/29/2019;8,038;06/22/2019;86,622;5,892,968;1.47
Illinois;07/06/2019;9,137;06/29/2019;86,321;5,892,968;1.46
Illinois;07/13/2019;7,249;07/06/2019;85,669;5,895,016;1.45
Illinois;07/20/2019;7,986;07/13/2019;93,884;5,895,016;1.59
Illinois;07/27/2019;10,355;07/20/2019;88,602;5,895,016;1.50
Illinois;08/03/2019;7,546;07/27/2019;90,901;5,895,016;1.54
Illinois;08/10/2019;7,209;08/03/2019;94,060;5,895,016;1.60
Illinois;08/17/2019;6,991;08/10/2019;88,531;5,895,016;1.50
Illinois;08/24/2019;7,376;08/17/2019;85,032;5,895,016;1.44
Illinois;08/31/2019;11,104;08/24/2019;83,897;5,895,016;1.42
Illinois;09/07/2019;7,180;08/31/2019;77,872;5,895,016;1.32
Illinois;09/14/2019;6,614;09/07/2019;86,352;5,895,016;1.46
Illinois;09/21/2019;6,538;09/14/2019;76,349;5,895,016;1.30
Illinois;09/28/2019;6,793;09/21/2019;74,877;5,895,016;1.27
Illinois;10/05/2019;8,465;09/28/2019;72,490;5,895,016;1.23
Illinois;10/12/2019;7,543;10/05/2019;73,458;5,902,475;1.24
Illinois;10/19/2019;7,551;10/12/2019;75,028;5,902,475;1.27
Illinois;10/26/2019;8,307;10/19/2019;75,332;5,902,475;1.28
Illinois;11/02/2019;10,705;10/26/2019;75,398;5,902,475;1.28
Illinois;11/09/2019;11,015;11/02/2019;78,200;5,902,475;1.32
Illinois;11/16/2019;13,989;11/09/2019;80,616;5,902,475;1.37
Illinois;11/23/2019;11,266;11/16/2019;85,441;5,902,475;1.45
Illinois;11/30/2019;10,233;11/23/2019;90,255;5,902,475;1.53
Illinois;12/07/2019;14,798;11/30/2019;95,414;5,902,475;1.62
Illinois;12/14/2019;15,076;12/07/2019;99,001;5,902,475;1.68
Illinois;12/21/2019;16,669;12/14/2019;107,512;5,902,475;1.82
Illinois;12/28/2019;16,537;12/21/2019;109,102;5,902,475;1.85
Illinois;01/04/2020;11,779;12/28/2019;125,348;5,902,475;2.12
Illinois;01/11/2020;12,703;01/04/2020;136,523;5,910,898;2.31
Illinois;01/18/2020;14,807;01/11/2020;133,967;5,910,898;2.27
Illinois;01/25/2020;9,762;01/18/2020;131,469;5,910,898;2.22
Illinois;02/01/2020;9,343;01/25/2020;143,239;5,910,898;2.42
Illinois;02/08/2020;9,794;02/01/2020;130,900;5,910,898;2.21
Illinois;02/15/2020;8,045;02/08/2020;133,765;5,910,898;2.26
Illinois;02/22/2020;11,812;02/15/2020;131,171;5,910,898;2.22
Illinois;02/29/2020;8,980;02/22/2020;132,123;5,910,898;2.24
Illinois;03/07/2020;8,727;02/29/2020;136,396;5,910,898;2.31
Illinois;03/14/2020;11,305;03/07/2020;130,293;5,910,898;2.20
Illinois;03/21/2020;126,716;03/14/2020;125,422;5,910,898;2.12
Illinois;03/28/2020;185,575;03/21/2020;132,058;5,910,898;2.23
Illinois;04/04/2020;202,157;03/28/2020;263,018;5,910,898;4.45
Illinois;04/11/2020;140,787;04/04/2020;452,826;5,914,575;7.66
Illinois;04/18/2020;118,996;04/11/2020;569,200;5,914,575;9.62
Illinois;04/25/2020;101,322;04/18/2020;681,002;5,914,575;11.51
Illinois;05/02/2020;74,476;04/25/2020;695,971;5,914,575;11.77
Illinois;05/09/2020;72,671;05/02/2020;755,912;5,914,575;12.78
Illinois;05/16/2020;72,780;05/09/2020;733,542;5,914,575;12.40
Illinois;05/23/2020;58,263;05/16/2020;762,367;5,914,575;12.89
Illinois;05/30/2020;46,385;05/23/2020;719,779;5,914,575;12.17
Illinois;06/06/2020;44,606;05/30/2020;741,738;5,914,575;12.54
Illinois;06/13/2020;44,694;06/06/2020;710,279;5,914,575;12.01
Indiana;01/05/2019;4,578;12/29/2018;19,267;2,998,303;0.64
Indiana;01/12/2019;4,835;01/05/2019;20,110;3,005,853;0.67
Indiana;01/19/2019;3,840;01/12/2019;19,918;3,005,853;0.66
Indiana;01/26/2019;3,467;01/19/2019;20,599;3,005,853;0.69
Indiana;02/02/2019;3,317;01/26/2019;20,753;3,005,853;0.69
Indiana;02/09/2019;3,462;02/02/2019;23,149;3,005,853;0.77
Indiana;02/16/2019;2,441;02/09/2019;22,293;3,005,853;0.74
Indiana;02/23/2019;2,367;02/16/2019;22,075;3,005,853;0.73
Indiana;03/02/2019;2,423;02/23/2019;21,253;3,005,853;0.71
Indiana;03/09/2019;2,845;03/02/2019;20,910;3,005,853;0.70
Indiana;03/16/2019;2,088;03/09/2019;20,682;3,005,853;0.69
Indiana;03/23/2019;2,069;03/16/2019;19,668;3,005,853;0.65
Indiana;03/30/2019;2,033;03/23/2019;18,100;3,005,853;0.60
Indiana;04/06/2019;3,038;03/30/2019;18,760;3,005,853;0.62
Indiana;04/13/2019;2,370;04/06/2019;15,723;3,014,893;0.52
Indiana;04/20/2019;2,719;04/13/2019;16,019;3,014,893;0.53
Indiana;04/27/2019;2,200;04/20/2019;16,047;3,014,893;0.53
Indiana;05/04/2019;2,086;04/27/2019;13,584;3,014,893;0.45
Indiana;05/11/2019;2,049;05/04/2019;13,502;3,014,893;0.45
Indiana;05/18/2019;2,009;05/11/2019;13,278;3,014,893;0.44
Indiana;05/25/2019;1,905;05/18/2019;13,336;3,014,893;0.44
Indiana;06/01/2019;2,101;05/25/2019;13,170;3,014,893;0.44
Indiana;06/08/2019;2,821;06/01/2019;13,854;3,014,893;0.46
Indiana;06/15/2019;2,120;06/08/2019;13,273;3,014,893;0.44
Indiana;06/22/2019;1,960;06/15/2019;13,321;3,014,893;0.44
Indiana;06/29/2019;2,225;06/22/2019;13,105;3,014,893;0.43
Indiana;07/06/2019;2,090;06/29/2019;12,945;3,014,893;0.43
Indiana;07/13/2019;3,527;07/06/2019;13,592;3,022,665;0.45
Indiana;07/20/2019;2,283;07/13/2019;13,902;3,022,665;0.46
Indiana;07/27/2019;2,051;07/20/2019;13,393;3,022,665;0.44
Indiana;08/03/2019;2,129;07/27/2019;13,247;3,022,665;0.44
Indiana;08/10/2019;2,518;08/03/2019;13,823;3,022,665;0.46
Indiana;08/17/2019;2,043;08/10/2019;13,427;3,022,665;0.44
Indiana;08/24/2019;1,989;08/17/2019;13,161;3,022,665;0.44
Indiana;08/31/2019;1,979;08/24/2019;13,207;3,022,665;0.44
Indiana;09/07/2019;1,986;08/31/2019;12,948;3,022,665;0.43
Indiana;09/14/2019;2,001;09/07/2019;13,126;3,022,665;0.43
Indiana;09/21/2019;2,797;09/14/2019;12,826;3,022,665;0.42
Indiana;09/28/2019;2,319;09/21/2019;12,951;3,022,665;0.43
Indiana;10/05/2019;2,672;09/28/2019;13,636;3,022,665;0.45
Indiana;10/12/2019;2,749;10/05/2019;13,394;3,034,091;0.44
Indiana;10/19/2019;2,116;10/12/2019;13,234;3,034,091;0.44
Indiana;10/26/2019;2,138;10/19/2019;13,667;3,034,091;0.45
Indiana;11/02/2019;2,381;10/26/2019;13,749;3,034,091;0.45
Indiana;11/09/2019;3,064;11/02/2019;13,582;3,034,091;0.45
Indiana;11/16/2019;2,725;11/09/2019;13,328;3,034,091;0.44
Indiana;11/23/2019;3,053;11/16/2019;14,219;3,034,091;0.47
Indiana;11/30/2019;2,312;11/23/2019;13,544;3,034,091;0.45
Indiana;12/07/2019;4,033;11/30/2019;15,473;3,034,091;0.51
Indiana;12/14/2019;3,411;12/07/2019;15,516;3,034,091;0.51
Indiana;12/21/2019;3,911;12/14/2019;17,011;3,034,091;0.56
Indiana;12/28/2019;3,418;12/21/2019;17,756;3,034,091;0.59
Indiana;01/04/2020;4,434;12/28/2019;20,062;3,034,091;0.66
Indiana;01/11/2020;4,890;01/04/2020;21,524;3,039,304;0.71
Indiana;01/18/2020;3,741;01/11/2020;21,626;3,039,304;0.71
Indiana;01/25/2020;2,956;01/18/2020;21,366;3,039,304;0.70
Indiana;02/01/2020;3,016;01/25/2020;22,017;3,039,304;0.72
Indiana;02/08/2020;2,725;02/01/2020;22,212;3,039,304;0.73
Indiana;02/15/2020;2,556;02/08/2020;22,352;3,039,304;0.74
Indiana;02/22/2020;2,979;02/15/2020;22,913;3,039,304;0.75
Indiana;02/29/2020;2,276;02/22/2020;22,994;3,039,304;0.76
Indiana;03/07/2020;2,223;02/29/2020;22,586;3,039,304;0.74
Indiana;03/14/2020;2,596;03/07/2020;21,473;3,039,304;0.71
Indiana;03/21/2020;59,755;03/14/2020;20,778;3,039,304;0.68
Indiana;03/28/2020;139,174;03/21/2020;28,987;3,039,304;0.95
Indiana;04/04/2020;127,010;03/28/2020;71,737;3,039,304;2.36
Indiana;04/11/2020;113,755;04/04/2020;147,583;3,041,986;4.85
Indiana;04/18/2020;72,756;04/11/2020;206,386;3,041,986;6.78
Indiana;04/25/2020;55,774;04/18/2020;253,929;3,041,986;8.35
Indiana;05/02/2020;42,290;04/25/2020;271,248;3,041,986;8.92
Indiana;05/09/2020;29,668;05/02/2020;285,460;3,041,986;9.38
Indiana;05/16/2020;29,436;05/09/2020;270,385;3,041,986;8.89
Indiana;05/23/2020;25,523;05/16/2020;253,536;3,041,986;8.33
Indiana;05/30/2020;22,914;05/23/2020;233,869;3,041,986;7.69
Indiana;06/06/2020;22,931;05/30/2020;221,056;3,041,986;7.27
Indiana;06/13/2020;24,017;06/06/2020;211,255;3,041,986;6.94
Iowa;01/05/2019;4,300;12/29/2018;31,173;1,519,868;2.05
Iowa;01/12/2019;4,395;01/05/2019;30,334;1,520,724;1.99
Iowa;01/19/2019;3,127;01/12/2019;29,093;1,520,724;1.91
Iowa;01/26/2019;3,728;01/19/2019;29,509;1,520,724;1.94
Iowa;02/02/2019;4,142;01/26/2019;31,177;1,520,724;2.05
Iowa;02/09/2019;2,679;02/02/2019;33,539;1,520,724;2.21
Iowa;02/16/2019;1,983;02/09/2019;31,633;1,520,724;2.08
Iowa;02/23/2019;2,179;02/16/2019;31,257;1,520,724;2.06
Iowa;03/02/2019;2,309;02/23/2019;30,786;1,520,724;2.02
Iowa;03/09/2019;2,232;03/02/2019;30,964;1,520,724;2.04
Iowa;03/16/2019;2,348;03/09/2019;30,334;1,520,724;1.99
Iowa;03/23/2019;2,272;03/16/2019;29,330;1,520,724;1.93
Iowa;03/30/2019;1,882;03/23/2019;26,969;1,520,724;1.77
Iowa;04/06/2019;1,780;03/30/2019;23,639;1,520,724;1.55
Iowa;04/13/2019;1,836;04/06/2019;20,317;1,523,830;1.33
Iowa;04/20/2019;1,823;04/13/2019;18,430;1,523,830;1.21
Iowa;04/27/2019;1,997;04/20/2019;15,793;1,523,830;1.04
Iowa;05/04/2019;2,673;04/27/2019;14,645;1,523,830;0.96
Iowa;05/11/2019;2,204;05/04/2019;15,317;1,523,830;1.01
Iowa;05/18/2019;1,959;05/11/2019;14,100;1,523,830;0.93
Iowa;05/25/2019;2,128;05/18/2019;13,501;1,523,830;0.89
Iowa;06/01/2019;2,195;05/25/2019;13,632;1,523,830;0.89
Iowa;06/08/2019;2,569;06/01/2019;13,691;1,523,830;0.90
Iowa;06/15/2019;2,120;06/08/2019;13,729;1,523,830;0.90
Iowa;06/22/2019;1,781;06/15/2019;14,233;1,523,830;0.93
Iowa;06/29/2019;2,123;06/22/2019;14,086;1,523,830;0.92
Iowa;07/06/2019;3,307;06/29/2019;14,360;1,523,830;0.94
Iowa;07/13/2019;2,635;07/06/2019;16,194;1,526,417;1.06
Iowa;07/20/2019;1,835;07/13/2019;14,970;1,526,417;0.98
Iowa;07/27/2019;2,380;07/20/2019;14,469;1,526,417;0.95
Iowa;08/03/2019;2,271;07/27/2019;14,969;1,526,417;0.98
Iowa;08/10/2019;2,349;08/03/2019;15,309;1,526,417;1.00
Iowa;08/17/2019;1,805;08/10/2019;15,306;1,526,417;1.00
Iowa;08/24/2019;2,099;08/17/2019;14,682;1,526,417;0.96
Iowa;08/31/2019;1,769;08/24/2019;14,008;1,526,417;0.92
Iowa;09/07/2019;1,787;08/31/2019;12,711;1,526,417;0.83
Iowa;09/14/2019;1,692;09/07/2019;12,305;1,526,417;0.81
Iowa;09/21/2019;1,738;09/14/2019;12,103;1,526,417;0.79
Iowa;09/28/2019;2,245;09/21/2019;12,051;1,526,417;0.79
Iowa;10/05/2019;2,228;09/28/2019;12,539;1,526,417;0.82
Iowa;10/12/2019;2,117;10/05/2019;12,665;1,529,213;0.83
Iowa;10/19/2019;2,296;10/12/2019;12,359;1,529,213;0.81
Iowa;10/26/2019;2,945;10/19/2019;12,635;1,529,213;0.83
Iowa;11/02/2019;2,851;10/26/2019;13,551;1,529,213;0.89
Iowa;11/09/2019;2,927;11/02/2019;14,055;1,529,213;0.92
Iowa;11/16/2019;4,579;11/09/2019;13,285;1,529,213;0.87
Iowa;11/23/2019;3,794;11/16/2019;15,608;1,529,213;1.02
Iowa;11/30/2019;4,988;11/23/2019;15,536;1,529,213;1.02
Iowa;12/07/2019;5,531;11/30/2019;20,394;1,529,213;1.33
Iowa;12/14/2019;4,934;12/07/2019;20,080;1,529,213;1.31
Iowa;12/21/2019;7,357;12/14/2019;22,119;1,529,213;1.45
Iowa;12/28/2019;10,338;12/21/2019;25,963;1,529,213;1.70
Iowa;01/04/2020;4,586;12/28/2019;34,549;1,529,213;2.26
Iowa;01/11/2020;4,836;01/04/2020;34,540;1,530,920;2.26
Iowa;01/18/2020;3,615;01/11/2020;29,625;1,530,920;1.94
Iowa;01/25/2020;3,115;01/18/2020;30,369;1,530,920;1.98
Iowa;02/01/2020;3,066;01/25/2020;30,890;1,530,920;2.02
Iowa;02/08/2020;2,379;02/01/2020;30,789;1,530,920;2.01
Iowa;02/15/2020;2,239;02/08/2020;30,799;1,530,920;2.01
Iowa;02/22/2020;2,631;02/15/2020;30,741;1,530,920;2.01
Iowa;02/29/2020;2,240;02/22/2020;30,516;1,530,920;1.99
Iowa;03/07/2020;2,221;02/29/2020;29,424;1,530,920;1.92
Iowa;03/14/2020;2,229;03/07/2020;27,816;1,530,920;1.82
Iowa;03/21/2020;40,952;03/14/2020;26,496;1,530,920;1.73
Iowa;03/28/2020;55,966;03/21/2020;53,650;1,530,920;3.50
Iowa;04/04/2020;64,194;03/28/2020;91,631;1,530,920;5.99
Iowa;04/11/2020;43,889;04/04/2020;127,332;1,531,621;8.31
Iowa;04/18/2020;26,901;04/11/2020;150,445;1,531,621;9.82
Iowa;04/25/2020;27,220;04/18/2020;168,971;1,531,621;11.03
Iowa;05/02/2020;23,241;04/25/2020;179,610;1,531,621;11.73
Iowa;05/09/2020;15,820;05/02/2020;189,643;1,531,621;12.38
Iowa;05/16/2020;12,056;05/09/2020;184,641;1,531,621;12.06
Iowa;05/23/2020;13,723;05/16/2020;178,559;1,531,621;11.66
Iowa;05/30/2020;6,449;05/23/2020;162,562;1,531,621;10.61
Iowa;06/06/2020;9,488;05/30/2020;158,268;1,531,621;10.33
Iowa;06/13/2020;9,069;06/06/2020;152,739;1,531,621;9.97
Kansas;01/05/2019;2,185;12/29/2018;11,601;1,347,587;0.86
Kansas;01/12/2019;2,165;01/05/2019;11,583;1,351,006;0.86
Kansas;01/19/2019;2,795;01/12/2019;10,975;1,351,006;0.81
Kansas;01/26/2019;2,501;01/19/2019;12,051;1,351,006;0.89
Kansas;02/02/2019;1,917;01/26/2019;12,743;1,351,006;0.94
Kansas;02/09/2019;1,766;02/02/2019;12,281;1,351,006;0.91
Kansas;02/16/2019;1,610;02/09/2019;12,274;1,351,006;0.91
Kansas;02/23/2019;1,803;02/16/2019;11,800;1,351,006;0.87
Kansas;03/02/2019;1,709;02/23/2019;12,141;1,351,006;0.90
Kansas;03/09/2019;1,583;03/02/2019;11,479;1,351,006;0.85
Kansas;03/16/2019;1,648;03/09/2019;11,193;1,351,006;0.83
Kansas;03/23/2019;1,271;03/16/2019;10,886;1,351,006;0.81
Kansas;03/30/2019;1,490;03/23/2019;9,195;1,351,006;0.68
Kansas;04/06/2019;1,357;03/30/2019;8,643;1,351,006;0.64
Kansas;04/13/2019;1,298;04/06/2019;7,999;1,354,497;0.59
Kansas;04/20/2019;1,167;04/13/2019;7,767;1,354,498;0.57
Kansas;04/27/2019;1,271;04/20/2019;7,649;1,354,497;0.56
Kansas;05/04/2019;2,025;04/27/2019;7,589;1,354,497;0.56
Kansas;05/11/2019;1,546;05/04/2019;8,253;1,354,497;0.61
Kansas;05/18/2019;1,402;05/11/2019;8,083;1,354,497;0.60
Kansas;05/25/2019;2,024;05/18/2019;7,711;1,354,497;0.57
Kansas;06/01/2019;1,533;05/25/2019;8,257;1,354,497;0.61
Kansas;06/08/2019;1,512;06/01/2019;8,110;1,354,497;0.60
Kansas;06/15/2019;1,436;06/08/2019;7,857;1,354,497;0.58
Kansas;06/22/2019;1,292;06/15/2019;8,149;1,354,497;0.60
Kansas;06/29/2019;1,516;06/22/2019;7,871;1,354,497;0.58
Kansas;07/06/2019;2,419;06/29/2019;7,914;1,354,497;0.58
Kansas;07/13/2019;2,657;07/06/2019;8,316;1,357,246;0.61
Kansas;07/20/2019;1,366;07/13/2019;9,472;1,357,246;0.70
Kansas;07/27/2019;1,360;07/20/2019;9,308;1,357,246;0.69
Kansas;08/03/2019;1,398;07/27/2019;8,779;1,357,246;0.65
Kansas;08/10/2019;1,325;08/03/2019;8,500;1,357,246;0.63
Kansas;08/17/2019;1,172;08/10/2019;8,222;1,357,246;0.61
Kansas;08/24/2019;1,183;08/17/2019;7,509;1,357,246;0.55
Kansas;08/31/2019;2,166;08/24/2019;7,473;1,357,246;0.55
Kansas;09/07/2019;1,289;08/31/2019;7,639;1,357,246;0.56
Kansas;09/14/2019;1,127;09/07/2019;7,366;1,357,246;0.54
Kansas;09/21/2019;2,602;09/14/2019;6,843;1,357,246;0.50
Kansas;09/28/2019;1,206;09/21/2019;7,643;1,357,246;0.56
Kansas;10/05/2019;1,318;09/28/2019;7,417;1,357,246;0.55
Kansas;10/12/2019;1,245;10/05/2019;7,198;1,359,781;0.53
Kansas;10/19/2019;1,132;10/12/2019;7,269;1,359,781;0.53
Kansas;10/26/2019;1,316;10/19/2019;7,126;1,359,781;0.52
Kansas;11/02/2019;1,346;10/26/2019;7,279;1,359,781;0.54
Kansas;11/09/2019;1,457;11/02/2019;7,093;1,359,781;0.52
Kansas;11/16/2019;1,413;11/09/2019;6,982;1,359,781;0.51
Kansas;11/23/2019;1,620;11/16/2019;7,345;1,359,781;0.54
Kansas;11/30/2019;1,236;11/23/2019;7,258;1,359,781;0.53
Kansas;12/07/2019;2,176;11/30/2019;8,246;1,359,781;0.61
Kansas;12/14/2019;1,825;12/07/2019;8,077;1,359,781;0.59
Kansas;12/21/2019;3,096;12/14/2019;8,562;1,359,781;0.63
Kansas;12/28/2019;3,059;12/21/2019;9,525;1,359,781;0.70
Kansas;01/04/2020;2,019;12/28/2019;11,175;1,359,781;0.82
Kansas;01/11/2020;2,140;01/04/2020;11,431;1,363,114;0.84
Kansas;01/18/2020;2,402;01/11/2020;10,638;1,363,114;0.78
Kansas;01/25/2020;2,557;01/18/2020;11,182;1,363,114;0.82
Kansas;02/01/2020;2,000;01/25/2020;12,301;1,363,114;0.90
Kansas;02/08/2020;2,107;02/01/2020;11,809;1,363,114;0.87
Kansas;02/15/2020;2,076;02/08/2020;11,666;1,363,114;0.86
Kansas;02/22/2020;1,494;02/15/2020;12,003;1,363,114;0.88
Kansas;02/29/2020;1,517;02/22/2020;11,505;1,363,114;0.84
Kansas;03/07/2020;1,365;02/29/2020;11,003;1,363,115;0.81
Kansas;03/14/2020;1,755;03/07/2020;9,771;1,363,114;0.72
Kansas;03/21/2020;23,563;03/14/2020;9,973;1,363,114;0.73
Kansas;03/28/2020;54,330;03/21/2020;17,558;1,363,114;1.29
Kansas;04/04/2020;49,306;03/28/2020;51,425;1,363,114;3.77
Kansas;04/11/2020;29,873;04/04/2020;78,334;1,364,944;5.74
Kansas;04/18/2020;30,596;04/11/2020;97,478;1,364,944;7.14
Kansas;04/25/2020;24,483;04/18/2020;119,022;1,364,944;8.72
Kansas;05/02/2020;15,959;04/25/2020;120,701;1,364,944;8.84
Kansas;05/09/2020;12,234;05/02/2020;117,977;1,364,944;8.64
Kansas;05/16/2020;11,238;05/09/2020;108,565;1,364,944;7.95
Kansas;05/23/2020;11,232;05/16/2020;104,553;1,364,944;7.66
Kansas;05/30/2020;10,028;05/23/2020;99,948;1,364,944;7.32
Kansas;06/06/2020;8,261;05/30/2020;91,070;1,364,944;6.67
Kansas;06/13/2020;8,287;06/06/2020;83,881;1,364,944;6.15
Kentucky;01/05/2019;6,377;12/29/2018;10,142;1,876,412;0.54
Kentucky;01/12/2019;11,344;01/05/2019;22,486;1,879,936;1.20
Kentucky;01/19/2019;3,084;01/12/2019;20,298;1,879,936;1.08
Kentucky;01/26/2019;2,949;01/19/2019;20,960;1,879,936;1.11
Kentucky;02/02/2019;2,673;01/26/2019;20,801;1,879,936;1.11
Kentucky;02/09/2019;2,381;02/02/2019;22,688;1,879,936;1.21
Kentucky;02/16/2019;2,344;02/09/2019;21,514;1,879,936;1.14
Kentucky;02/23/2019;6,831;02/16/2019;22,762;1,879,936;1.21
Kentucky;03/02/2019;3,714;02/23/2019;23,662;1,879,936;1.26
Kentucky;03/09/2019;2,046;03/02/2019;21,175;1,879,936;1.13
Kentucky;03/16/2019;2,105;03/09/2019;20,145;1,879,936;1.07
Kentucky;03/23/2019;1,957;03/16/2019;20,317;1,879,936;1.08
Kentucky;03/30/2019;2,168;03/23/2019;18,417;1,879,936;0.98
Kentucky;04/06/2019;2,774;03/30/2019;18,087;1,879,936;0.96
Kentucky;04/13/2019;2,108;04/06/2019;16,778;1,883,260;0.89
Kentucky;04/20/2019;1,983;04/13/2019;17,427;1,883,260;0.93
Kentucky;04/27/2019;1,716;04/20/2019;15,765;1,883,260;0.84
Kentucky;05/04/2019;1,938;04/27/2019;16,169;1,883,260;0.86
Kentucky;05/11/2019;1,709;05/04/2019;15,342;1,883,260;0.81
Kentucky;05/18/2019;2,272;05/11/2019;15,678;1,883,260;0.83
Kentucky;05/25/2019;2,638;05/18/2019;15,638;1,883,260;0.83
