Error/Needs Review,record_id,policy_id,province,recorded_date,date_updated,date_start,date_end,policy_type,entry_type,event_description,type,type_sub_cat,type_text,correct_type,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,link,ISO_A3,ISO_A2
end date needs review,9904958NA,9904958,Illinois,2020-04-24T02:43:09Z,2020-04-24,2020-04-08,2020-07-15,More Restrictions and/or More Supply,new_entry,In Illinois Mayor authorizes fines for violating social distance protocols on April 8.,Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,https://www.illinoistimes.com/springfield/mayor-authorizes-fines-for-violating-social-distance-protocols/Content?oid=12034631&fbclid=IwAR2yKscvbO_ApbUF2hZplIjfh4A42_W9RtkwnKEkDt9XO9Tb8SZDnMEz7_4,USA,US
end date needs review,8090249NA,8090249,North Dakota,2020-04-24T03:40:29Z,2020-04-24,2020-03-21,2020-07-15,More Restrictions and/or More Supply,new_entry,"United States, North Dakota Governor issues an executive order to health care payers to eliminate proof of delivery requirement for deliveries directly to homes and by mail, reducing person-to-person contact and maximizing social distancing for pharmacies staff and the receiving citizen. Begins March 21.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-09.pdf,USA,US
,5851337NA,5851337,Kansas,2020-04-24T13:51:12Z,2020-04-24,2020-04-21,2020-07-15,More Restrictions and/or More Supply,new_entry,In Kansas KCMO Public Health has posted Recommendations for Community- and Faith-based Organizations on April 21.,Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://www.kcmo.gov/home/showdocument?id=5147,USA,US
,9194116NA,6250803,Alaska,2020-04-24T13:58:13Z,2020-04-24,2020-03-12,2020-04-11,More Restrictions and/or More Supply,new_entry,"""The State of Alaska within the United States is recommending For the General Public...
In order to prevent or slow the spread of Coronavirus Disease 2019 (COVID-19), the State of Alaska is recommending all Alaskans become familiar with the Centers for Disease Control and Preventions (CDC) guidance on community mitigation. We are advising Alaskans to implement protective measures outlined in the â€œpreparedness phaseâ€ and to strongly consider implementing the â€œminimal to moderateâ€ activities (see page 3). Examples of social distancing strategies that should be followed now include:

For High-Risk Groups

    This group includes persons aged 60 years and over, and persons with underlying medical conditions such as heart disease, lung disease, diabetes, or other immune compromising illnesses.
    When you go out in public, try to maintain at least 6 feet distance from people â€“ especially from people who are sick.
    Avoid crowds as much as possible, especially large gatherings.
    Avoid cruise travel and non-essential air travel.
""
",Social Distancing,General,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://content.govdelivery.com/accounts/AKDHSS/bulletins/280cf94,USA,US
,9307175NA,7906521,Alaska,2020-04-25T08:54:27Z,2020-04-25,2020-03-21,2020-07-15,,update,The state of Alaska within the United States has mandated that citizens of the Boroughs Fairbank North Star and Ketchikan limit size of gathers to ten or fewer. This mandate is in effect until further notice,Social Distancing,General,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Exceptions (Please list exceptions in the text entry),https://gov.alaska.gov/home/covid19-healthmandates/,USA,US
,856547NA,9990951,Alaska,2020-04-25T09:01:54Z,2020-04-25,2020-03-24,2020-07-15,,update,The state of Alaska within the United States has extended social distancing and gatherings to all of Alaska. Groups should be no larger than 10 persons and when in a group of 10 or more all persons should be standing at least 6 feet apart. This mandate is until further notice,Social Distancing,General,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Exceptions (Please list exceptions in the text entry),https://gov.alaska.gov/home/covid19-healthmandates/,USA,US
,1886884NA,7773525,Alaska,2020-04-25T09:11:35Z,2020-04-25,2020-03-28,2020-04-11,,update,"The state of Alaska within the United States released its 11th mandate wherein social distancing is now fine-able of $1,000 per offense (limit $25,000 and $2,500,000 if misdemeanor results in a death). The size limit for external and internal group size has been limited to the family. Homeless people are exempted. This effect will be reevaluated on April 11th",Social Distancing,General,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory with Fines,https://gov.alaska.gov/home/covid19-healthmandates/,USA,US
,2284098NA,2284098,Massachusetts,2020-04-26T12:17:43Z,2020-04-26,2020-04-08,2020-07-15,,new_entry,The Department of Public Health of Massachusetts released further guidance to promote social distancing at grocery stores. The new guidance requires that each grocery store limit occupancy to 40% of its maximum permitted occupancy level (except stores with a maximum occupancy of less than 25 people).,Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://www.mass.gov/news/baker-polito-administration-announces-testing-site-expansion-new-restrictions-for-grocery,USA,US
,428669NA,428669,Wisconsin,2020-04-27T13:29:06Z,2020-04-27,2020-04-29,2020-07-15,,new_entry,On April 27th the Department of Health Services for Wisconsin issued an order loosening restrictions on outdoor activities and expanding curb-side services,Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://evers.wi.gov/Documents/COVID19/EMO34-SAHDialTurn.pdf,USA,US
,9574223NA,9574223,Missouri,2020-04-29T15:23:58Z,2020-04-29,2020-05-04,2020-05-31,Fewer Restrictions and/or Less Supply,new_entry,"Missouri Department of Health and Senior Services states that every person and business in the State of Missouri shall abide by social distancing requirements, including maintaining six feet of space between individuals. Retail stores may reopen, but those with a square footage of less than ten thousand square feet must only hold 25% or less of the capacity. Retail locations that are more than ten thousand square feet must hold 10% or less. Restaurants may offer dine-in services but social distancing rules must be upheld.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://content.govdelivery.com/attachments/MOGOV/2020/04/27/file_attachments/1437097/Economic%20Reopening%20Order%204-27-20.pdf,USA,US
,677305NA,677305,Vermont,2020-05-05T08:12:14Z,2020-05-05,2020-03-13,2020-05-15,,update,"Vermont (03.13.2020-04.15.2020): ""The Governor’s executive order outlines several new actions, including restricting visitor access to hospitals and facilities that house and serve the elderly and very ill""


I, Philip B. Scott, by virtue of the authority vested in me as Governor of Vermont by the Constitution of the State of Vermont, the emergency powers set forth in 20 V.S.A. §§ 8, 9 and 11 and other laws, hereby authorize the Commissioner of the Vermont Department of Public Health to issue mitigation requirements and procedures for the resumption of clinic visits, diagnostic imaging and such outpatient surgeries and procedures that have a minimal impact on inpatient hospital bed capacity and PPE levels, including those performed in the office or ambulatory surgical care setting.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://governor.vermont.gov/sites/scott/files/documents/EO%2001-20%20Declaration%20of%20State%20of%20Emergency%20in%20Response%20to%20COVID-19%20and%20National%20Guard%20Call-Out.pdf,USA,US
,2530139NA,2530139,Georgia,2020-05-06T02:01:12Z,2020-05-06,2020-04-10,2020-06-12,,update,"United states, Georgia Governor issues an executive order for all health care facilities, including nursing homes, assisted living communities, inpatient hospice, assisted living care, community integration homes to establish appropriate social distancing infrastructure for residents and employees, beginning April 10 until April 30. 

Extended until June 12.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://gov.georgia.gov/press-releases?field_press_release_type_target_id=All&page=1,USA,US
,7988826NA,7988826,West Virginia,2020-05-13T02:08:12Z,2020-05-13,2020-05-04,2020-07-15,,new_entry,"United States, West Virginia Governor issues guidelines for religious entities. Per these guidelines Religious entities and institutions have been asked to reduce the number of individuals attending in-person services by holding services online or in parking lots, instruct sick employees, volunteers and guests to stay home, practice physical distancing, maintaining good hygiene and disinfection practices.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://coronavirus.wvgovstatus.com/2020.04.28%20ReligiousGuidelines.pdf,USA,US
,9213970NA,9213970,South Carolina,2020-05-14T20:59:26Z,2020-05-14,2020-04-21,2020-04-21,Fewer Restrictions and/or Less Supply,update,"The state of South Carolina ordered the state level reopening of public access to beaches, docks, piers, wharfs, boat ramps and boat landings that would lead to public waters on April 20, effective April 21, in place until further notice.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)",https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-30%20eFILED%20Executive%20Order%20No.%202020-16%20-%20Emergency%20Access%20Restrictions%20for%20Public%20Beaches%20%26%20Waters%20Due%20to%20COVID-19%20Pandemic.pdf,USA,US
,9096290NA,9096290,Vermont,2020-05-16T02:00:24Z,2020-05-16,2020-05-15,2020-06-15,,update,"Vermont (05.16.2020): ""For the sake of clarity, Addendum 2 to the Executive Order dated March 16, 2020, which prohibited on-premises consumption of food or drink, Addendum 4 to the Executive Order dated March 20, 2020, which suspended the operation of close contact businesses, and Addendum 5 to the Executive Order dated March 23, 2020, which required all businesses,and non-profit and government entities to implement telework procedures to the extent possible, shall remain in full force and effect""",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%205%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,USA,US
,9134785NA,9134785,Vermont,2020-05-16T02:13:54Z,2020-05-16,2020-03-24,2020-03-24,,update,"Vermont (03.23.2020): ""The Order provides exemptions for businesses and entities providing services or functions deemed critical to public health and safety, as well as economic and national security. This includes – but is not limited to – health care operations; retail serving essential human needs, like grocery stores, pharmacies and hardware stores; fuel products and supply; news media; maintenance of critical infrastructure; and transportation and critical manufacturing sectors. For a full list, please review the order""",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://governor.vermont.gov/press-release/governor-phil-scott-announces-new-covid-19-community-mitigation-measures-directs,USA,US
,8257999NA,8257999,Maryland,2020-05-20T08:05:13Z,2020-05-20,2020-05-13,2020-07-15,delete,update,"Maryland, United States
The effect of § 2-402 of the Family Law Article of the Maryland Code (“FL”) is
suspended such that a party to be married may apply, to the clerk for the county in
which the marriage is to be performed, for a marriage license by providing to the
clerk:
a. a signed marriage application by mail, courthouse drop box, or email; and
b. payment as directed by the clerk.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",https://governor.maryland.gov/covid-19-pandemic-orders-and-guidance/,USA,US
,4262928NA,4262928,Minnesota,2020-06-16T12:07:58Z,2020-06-16,2020-04-24,2020-07-15,,new_entry,"On April 24th, the Governor of Minnesota issued an Executive Order allowing shareholders to meet remotely in order to practice social distancing requirements",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://www.leg.state.mn.us/archive/execorders/20-43.pdf,USA,US
,1419465NA,1419465,Kentucky,2020-06-18T10:05:26Z,2020-06-18,2020-03-13,2020-07-15,,new_entry,"Kentucky government in the USA declared the State of Health Emergency and activated Emergency Management Operation Center on March 6, 2020. And on March 11, 2020, recommended Social distancing for everyone and publish the list of guidance of social distancing. Instructed school districts to be prepared to close on short notice, as short as 72 hours. All community gathering to be canceled or postponed.",Social Distancing,General,NA,correction,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://governor.ky.gov/covid19,USA,US
,1768828NA,1768828,Missouri,2020-06-19T10:15:03Z,2020-06-19,2020-06-04,2020-06-15,,new_entry,"As part of Phase 1 of the ""Show Me Strong Recovery Plan,"" Missouri (U.S. state) is mandating 6 ft social distancing in public settings - however, there are no restrictions on mass gatherings.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://www.stlmag.com/news/what-is-the-show-me-strong-recovery-plan/,USA,US
,1866757NA,1866757,Alabama,2020-06-27T11:29:45Z,2020-06-27,2020-05-11,2020-07-03,,new_entry,"Effective May 11 until July 3, all non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons from different households are prohibited in Alabama.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Mandatory (Unspecified/Implied),https://governor.alabama.gov/assets/2020/05/Safer-at-Home-Order-FINAL-5.21.2020.pdf,USA,US
,1318797NA,1318797,Arkansas,2020-07-03T09:45:23Z,2020-07-03,2020-03-26,2020-05-04,,new_entry,"As of March 26, Arkansas Dept of Health advises businesses and government bodies to implement 6ft social distancing.",Social Distancing,General,NA,original,NA,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,NA,Voluntary/Recommended but No Penalties,https://www.healthy.arkansas.gov/images/uploads/pdf/gatherings_directive_final_3.26.20.pdf,USA,US
,8704045Bn,8704045,NA,2020-04-18T09:49:42Z,2020-04-18,2020-04-01,2020-04-15,More Restrictions and/or More Supply,new_entry,"In an effort to tamp down the COVID-19 infection rate across the nation's corrections system, the Federal Bureau of Prisons announced on Tuesday  March 31, 2020 that starting Wednesday, inmates in all of its institutions across the country will be kept in their assigned cells or quarters, effectively putting them in lockdown.

The order will hold for at least 14 days, but it may be extended to a later date.",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,NA,NA,NA,Other,NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.npr.org/sections/coronavirus-live-updates/2020/03/31/824917318/prisoners-across-country-will-be-confined-for-14-days-to-cut-coronavirus-spread?t=1587224572040,USA,US
end date needs review,3654953Bn,3654953,New York,2020-04-23T17:56:38Z,2020-04-23,2020-03-04,2020-07-15,More Restrictions and/or More Supply,new_entry,"On Mar 4,  SUNY and CUNY announced that Students from Study Abroad programs Returning from Impacted Countries China, Italy, Japan, Iran, South Korea Will Fly into New York Stewart International Airport and Urge Quarantine at Designated Dormitories",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,NA,NA,NA,Other,Inbound,Flights,Mandatory (Unspecified/Implied),https://www.suny.edu/suny-news/press-releases/03-20/3-3-20/study-abroad-covid.html,USA,US
,9578716Bn,9578716,NA,2020-04-25T09:05:48Z,2020-04-25,2020-04-01,2020-04-15,,new_entry,"In an effort to tamp down the COVID-19 infection rate across the nation's corrections system, the Federal Bureau of Prisons announced on March 31, 2020 that starting Wednesday, inmates in all of its institutions across the country will be kept in their assigned cells or quarters, effectively putting them in lockdown.

The order will hold for at least 14 days, but it may be extended to a later date.
",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,NA,NA,NA,Other,NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.npr.org/sections/coronavirus-live-updates/2020/03/31/824917318/prisoners-across-country-will-be-confined-for-14-days-to-cut-coronavirus-spread?t=1587221604768,USA,US
,6360303Bn,6360303,New York,2020-04-23T11:44:19Z,2020-04-23,2020-03-09,2020-07-15,Fewer Restrictions and/or Less Supply,new_entry,"USA, New York State, Quarantine policy, March 9: ""The Department of Corrections and Community Supervision also began a new screening protocol for COVID-19 for visitors to each of the State's 52 correctional facilities to help avoid the introduction of COVID-19 into the Department's facilities. Upon arrival to the facility, visitors will be asked a series of questions regarding any illness or symptoms they may be currently experiencing; travel outside of the United States within the past four weeks, including that of family members; and any direct exposure to an individual diagnosed with the novel coronavirus in the past four weeks.""",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,New York,NA,NA,Other,NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.ny.gov/news/novel-coronavirus-briefing-governor-cuomo-announces-state-will-provide-alcohol-based-hand,USA,US
,9601415Bn,790956,Pennsylvania,2020-04-25T02:54:54Z,2020-04-25,2020-03-24,2020-04-30,More Restrictions and/or More Supply,update,Pennsylvania government expands stay at home lockdown order to 8 counties on 24 March 2020.,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.pa.gov/newsroom/governor-wolf-and-health-secretary-expand-stay-at-home-order-to-erie-county-to-mitigate-spread-of-covid-19/,USA,US
,2838122Bn,790956,Pennsylvania,2020-04-25T03:04:55Z,2020-04-25,2020-03-25,2020-04-30,More Restrictions and/or More Supply,update,Pennsylvania expands stay at home lockdown to 10 counties on 25 March 2020.,Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.pa.gov/newsroom/governor-wolf-and-health-secretary-expand-stay-at-home-order-to-lehigh-and-northampton-counties-to-mitigate-spread-of-covid-19-counties-now-total-10/,USA,US
,9262765Bn,790956,Pennsylvania,2020-04-25T04:54:49Z,2020-04-25,2020-03-27,2020-04-30,More Restrictions and/or More Supply,update,"Pennsylvania announces ‘Stay at Home’ lockdown Order to Nine More Counties to Mitigate Spread of COVID-19, Counties Now Total 19 on 27 March 2020.",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.pa.gov/newsroom/governor-wolf-and-health-secretary-expand-stay-at-home-order-to-nine-more-counties-to-mitigate-spread-of-covid-19-counties-now-total-19/,USA,US
,1622496Bn,1622496,Pennsylvania,2020-04-25T05:58:19Z,2020-04-25,2020-03-30,2020-07-15,More Restrictions and/or More Supply,new_entry,"On 29 March, Department of Corrections Quarantines State Prison System to Fight COVID-19, Protect Inmates and Staff, with all new arrivals quarantined for 14 days.",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.media.pa.gov/pages/Corrections_details.aspx?newsid=455,USA,US
,1245826Bn,790956,Pennsylvania,2020-04-25T06:18:25Z,2020-04-25,2020-03-30,2020-04-30,More Restrictions and/or More Supply,update,"Pennsylvania Expands ‘Stay at Home’ Order to Carbon, Cumberland, Dauphin and Schuylkill Counties bringing total to 26 counties and date is expanded to April 30, announced on March 30.",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.pa.gov/newsroom/gov-wolf-and-sec-of-health-expand-stay-at-home-order-to-carbon-cumberland-dauphin-and-schuylkill-counties-extend-school-closures-indefinitely/,USA,US
,3807866Bn,3807866,Pennsylvania,2020-07-05T07:13:19Z,2020-07-05,2020-03-29,2020-03-29,More Restrictions and/or More Supply,update,"Pennsylvania Corrections Department to Use SCI Retreat as New Commitment, Parole Violator Reception Facility for house new inmates to quarantine them from the wider prison population, beginning March 28.
More strict guidelines were introduced on 29th March.",Quarantine,Government Quarantine (i.e. quarantine at a government hotel or facility),NA,original,Pennsylvania,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.media.pa.gov/pages/Corrections_details.aspx?newsid=451,USA,US
,1245532Bo,1245532,Delaware,2020-04-09T10:29:04Z,2020-04-09,2020-03-20,2020-07-15,More Restrictions and/or More Supply,new_entry,"Delaware, United States 
Dogfish Head, one of Delaware’s best-known businesses, began distilling spirits in Delaware in 2002 and has now committed part of its operations to also make hand sanitizer.",Health Resources,Hand Sanitizer,NA,original,Delaware,NA,NA,Health-Related Supplies,NA,Not Applicable,Voluntary/Recommended but No Penalties,https://news.delaware.gov/2020/03/20/governor-carney-and-dogfish-head-announce-partnership-for-distillery-to-produce-hand-sanitizer-for-state-of-delaware/,USA,US
duplicate,2731596Bo,2731596,Kentucky,2020-04-27T08:08:59Z,2020-04-27,2020-04-27,2020-07-15,,new_entry,"FRANKFORT, Ky. (April 23, 2020) – On Thursday, Gov. Andy Beshear announced that Monday, April 27, the state will begin the gradual restart and reopening of our Phase 1 health care services and facilities, although they will operate vastly different than they did before the outbreak of the novel coronavirus 2019 (COVID-19).",Health Resources,Hand Sanitizer,NA,original,Kentucky,NA,NA,All Citizens (Citizen Residents + Citizen Travelers),NA,Not Applicable,Voluntary/Recommended but No Penalties,https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=138,USA,US
duplicate,469737Bo,469737,Massachusetts,2020-04-26T11:23:33Z,2020-04-26,2020-03-29,2020-07-15,,new_entry,The Baker-Polito Administration announced an online portal where individuals and companies can easily donate or sell personal protective equipment (PPE) and volunteer to support the COVID-19 outbreak in Massachusetts.,Health Resources,Hand Sanitizer,NA,original,Massachusetts,NA,NA,All Residents (Citizen Residents +Foreign Residents),NA,Not Applicable,Voluntary/Recommended but No Penalties,https://www.mass.gov/news/baker-polito-administration-launches-online-portal-for-personal-protective-equipment,USA,US
duplicate,631779Bo,631779,Michigan,2020-04-19T02:53:49Z,2020-04-19,2020-03-30,2020-07-15,,new_entry,Michigan allocated 150 million dollars of state funding for the COVID-19 response.,Health Resources,Hand Sanitizer,NA,original,Michigan,NA,NA,Health-Related Supplies,NA,Not Applicable,Mandatory with Legal Penalties (Jail Time),"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90640-523465--,00.html",USA,US
duplicate,8847609Bo,8847609,Virginia,2020-04-24T06:33:18Z,2020-04-24,2020-03-25,2020-05-01,,update,"Virginia (03.25.2020): ""NOW THEREFORE, the Governor and State Health Commissioner hereby issue this Order prohibiting all inpatient and outpatient surgical hospitals licensed under 12 VAC 5-410, freestanding endoscopy centers, physicians’ offices, and dental, orthodontic, and endodontic offices in  the Commonwealth from providing procedures and surgeries that require PPE, which if delayed, are not anticipated to cause harm to the patient by negatively affecting the patient's health outcomes, or leading to disability or death. This does not include outpatient visits delivered in hospital-based clinics.""

Governor Ralph Northam today extended the current ban on elective surgeries by one week, until May 1",Health Resources,Hand Sanitizer,NA,original,NA,NA,NA,Health-Related Supplies,NA,Not Applicable,Mandatory with Fines,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/Order-of-Public-Health-Emergency-Two---Order-of-The-Governor-and-State-Health-Commissioner.pdf,USA,US
,5636753Bo,5636753,Maryland,2020-05-04T04:29:21Z,2020-05-04,2020-04-28,2020-07-15,,new_entry,"Maryland, United States
ANNAPOLIS, MD—Governor Larry Hogan today announced that Maryland has awarded more than $1.6 million in a first round of grants to 20 Maryland companies for pivoting to or expanding production of Personal Protective Equipment (PPE).

Through the Maryland COVID-19 Emergency Relief Manufacturing Fund administered by the Maryland Department of Commerce, companies are receiving grants of up to $100,000 to manufacture everything from face shields, gowns, N-95 masks, and respirator parts to battery packs for ventilators.",Health Resources,Hand Sanitizer,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://governor.maryland.gov/2020/04/28/governor-hogan-announces-1-6-million-in-grants-to-maryland-companies-producing-ppe-in-response-to-covid-19/,USA,US
,5124989Bo,5124989,California,2020-06-17T00:28:26Z,2020-06-17,2020-06-05,2020-07-15,,new_entry,"Governor Gavin Newsom of California today signed an executive order that will help increase the availability of health resources. It allows the temporary manufacture of over-the-counter drugs and medical devices by firms not currently licensed by the California Department of Public Health,  
defers renewal fees for manufacturers of drugs, medical devices, food and cosmetics that currently have California Department of Public Health licenses, and addresses a variety of other issues by extending a number of waivers to allow for flexibility in the emergency placement of foster youth and ensuring that they have access to critical programs and technology",Health Resources,Hand Sanitizer,NA,original,NA,NA,NA,NA,NA,NA,Voluntary/Recommended but No Penalties,https://www.gov.ca.gov/2020/06/05/governor-newsom-signs-executive-order-on-actions-in-response-to-covid-19-6-5-20/,USA,US
,3480640Bo,3480640,Pennsylvania,2020-06-30T12:15:45Z,2020-06-30,2020-04-08,2020-07-15,,new_entry,"Pennsylvania Govt signed an order to transfer medical equipments (N95,ventilators, face shields, safety goggles, disinfectants etc) from private medical facilities, manufacturers, distributors and supplier to high-impacted and lower population areas by matching the supply and demand.",Health Resources,Hand Sanitizer,NA,correction,NA,NA,NA,NA,NA,NA,Mandatory (Unspecified/Implied),https://www.governor.pa.gov/newsroom/gov-wolf-signs-order-to-provide-targeted-distribution-of-covid-19-ppe-and-supplies-to-hospitals/,USA,US
,827853Bo,827853,New Hampshire,2020-04-21T07:10:14Z,2020-04-21,2020-03-23,2020-07-15,,new_entry,"New Hampshire governor announces onMarch 23rd a""Temporary allowance for New Hampshire pharmacists and pharmacies to compound and sell hand sanitizer over the counter (""OTC"") and to allow pharmacy technicians to perform non-dispensing tasks remotely""",Health Resources,Hand Sanitizer,NA,original,New hampshire,NA,NA,Health-Related Supplies,NA,Not Applicable,Voluntary/Recommended but No Penalties,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-13.pdf,USA,US
,4817569Bo,4817569,New York,2020-04-24T10:22:14Z,2020-04-24,2020-04-20,2020-07-15,,new_entry,"USA, New York State, Health resources distribution, April 20: ""State Will Deliver More Than 500,000 Cloth Masks and 10,000 Gallons of Hand Sanitizer to Public Housing Communities""",Health Resources,Hand Sanitizer,NA,original,New York,NA,NA,Health-Related Supplies,NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-calls-federal-government-provide-hazard-pay,USA,US
,1322508Bo,1322508,Pennsylvania,2020-04-25T08:49:49Z,2020-04-25,2020-04-08,2020-07-15,More Restrictions and/or More Supply,new_entry,Gov. Wolf Signs Order to Provide Targeted Distribution of COVID-19 PPE and Supplies to Hospitals on 8 April 2020.,Health Resources,Hand Sanitizer,NA,original,Pennsylvania,NA,NA,Health-Related Supplies,NA,Not Applicable,Mandatory (Unspecified/Implied),https://www.governor.pa.gov/newsroom/gov-wolf-signs-order-to-provide-targeted-distribution-of-covid-19-ppe-and-supplies-to-hospitals/,USA,US
duplicate,2731596Bq,2731596,Kentucky,2020-04-27T08:08:59Z,2020-04-27,2020-04-27,2020-07-15,,new_entry,"FRANKFORT, Ky. (April 23, 2020) – On Thursday, Gov. Andy Beshear announced that Monday, April 27, the state will begin the gradual restart and reopening of our Phase 1 health care services and facilities, although they will operate vastly different than they did before the outbreak of the novel coronavirus 2019 (COVID-19).",Health Resources,Health Insurance,NA,original,Kentucky,NA,NA,All Citizens (Citizen Residents + Citizen Travelers),NA,Not Applicable,Voluntary/Recommended but No Penalties,https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=138,USA,US
,5833444Bq,5833444,Massachusetts,2020-04-26T23:59:32Z,2020-04-26,2020-04-09,2020-07-15,More Restrictions and/or More Supply,new_entry,"The Baker-Polito Administration of Massachusetts today announced details for the Field Medical Station at the Boston Convention and Exhibition Center. The Governor also issued orders to ease licensing restrictions for foreign-educated doctors to allow medical practice in the Commonwealth, expedite licensure of nursing students and graduates, and mandated that insurers must cover all medically required costs of COVID-19 treatment in out-of-network hospitals or other medical facilities with no charge to the patient, including co-pays, deductibles or co-insurance payments.",Health Resources,Health Insurance,NA,original,Massachusetts,NA,NA,Other,NA,Not Applicable,Voluntary/Recommended but No Penalties,https://www.mass.gov/news/baker-polito-administration-announces-field-medical-station-details-new-support-for-health,USA,US
